
69.0,223.0,32.0,40.0,4.0,29.0,0.6,120.0,2.0
73.0,283.0,44.0,41.0,4.0,22.0,0.58,115.0,2.0
41.0,122.0,21.0,34.0,4.0,21.0,0.55,73.0,1.0
50.0,153.0,17.0,24.0,5.0,21.0,0.52,97.0,1.0
61.0,238.0,25.0,29.0,4.0,19.0,0.46,113.0,2.0
64.0,259.0,26.0,31.0,4.0,16.0,0.45,115.0,2.0
62.0,233.0,41.0,45.0,4.0,28.0,0.61,93.0,2.0
56.0,232.0,31.0,31.0,4.0,16.0,0.46,107.0,2.0
43.0,203.0,22.0,43.0,5.0,25.0,0.4,91.0,1.0
88.0,350.0,53.0,63.0,9.0,41.0,0.66,138.0,2.0
54.0,277.0,32.0,39.0,8.0,31.0,0.48,108.0,2.0
30.0,127.0,18.0,17.0,4.0,34.0,0.58,62.0,1.0
43.0,242.0,28.0,19.0,5.0,31.0,0.59,70.0,1.0
31.0,162.0,21.0,21.0,5.0,27.0,0.47,65.0,1.0
41.0,123.0,13.0,22.0,4.0,19.0,0.41,77.0,1.0
29.0,39.0,17.0,22.0,4.0,33.0,0.49,45.0,1.0
56.0,216.0,33.0,24.0,4.0,31.0,0.52,73.0,2.0
81.0,340.0,41.0,36.0,5.0,31.0,0.57,103.0,2.0
59.0,281.0,40.0,42.0,4.0,41.0,0.83,57.0,2.0
45.0,173.0,21.0,9.0,3.0,38.0,0.75,65.0,1.0
38.0,87.0,16.0,14.0,3.0,31.0,0.52,72.0,1.0
39.0,87.0,17.0,23.0,4.0,30.0,0.46,80.0,1.0
53.0,170.0,22.0,29.0,4.0,22.0,0.45,100.0,2.0
55.0,196.0,36.0,38.0,4.0,29.0,0.5,92.0,2.0
54.0,190.0,36.0,31.0,4.0,28.0,0.47,86.0,2.0
64.0,281.0,36.0,22.0,4.0,22.0,0.43,89.0,2.0
71.0,333.0,31.0,37.0,4.0,28.0,0.62,117.0,2.0
41.0,206.0,28.0,25.0,4.0,34.0,0.5,54.0,1.0
27.0,74.0,8.0,10.0,4.0,29.0,0.44,86.0,1.0
45.0,215.0,30.0,29.0,5.0,35.0,0.53,92.0,1.0
35.0,126.0,21.0,27.0,5.0,24.0,0.41,89.0,1.0
26.0,60.0,17.0,23.0,4.0,23.0,0.44,66.0,1.0
31.0,100.0,20.0,28.0,4.0,21.0,0.36,43.0,1.0
21.0,28.0,10.0,21.0,4.0,19.0,0.31,22.0,1.0
17.0,19.0,9.0,17.0,4.0,20.0,0.34,31.0,1.0
33.0,126.0,22.0,31.0,5.0,32.0,0.57,55.0,1.0
57.0,273.0,37.0,39.0,5.0,32.0,0.54,92.0,2.0
46.0,220.0,31.0,40.0,4.0,23.0,0.53,93.0,1.0
47.0,265.0,23.0,37.0,5.0,26.0,0.54,104.0,1.0
48.0,263.0,31.0,45.0,5.0,40.0,0.69,87.0,1.0
53.0,291.0,37.0,54.0,5.0,46.0,0.75,78.0,2.0
65.0,318.0,46.0,59.0,5.0,45.0,0.78,104.0,2.0
26.0,36.0,16.0,24.0,5.0,17.0,0.42,43.0,1.0
38.0,111.0,24.0,35.0,4.0,17.0,0.44,58.0,1.0
26.0,25.0,11.0,25.0,4.0,15.0,0.4,18.0,1.0
26.0,43.0,10.0,25.0,4.0,10.0,0.42,18.0,1.0
24.0,51.0,10.0,20.0,3.0,5.0,0.47,48.0,1.0
28.0,101.0,7.0,15.0,3.0,14.0,0.47,52.0,1.0
45.0,174.0,24.0,40.0,6.0,34.0,0.66,99.0,1.0
51.0,196.0,35.0,49.0,5.0,29.0,0.69,105.0,2.0
46.0,167.0,32.0,41.0,5.0,27.0,0.61,91.0,1.0
32.0,87.0,21.0,29.0,5.0,26.0,0.51,61.0,1.0
22.0,26.0,11.0,22.0,4.0,18.0,0.4,28.0,1.0
33.0,112.0,16.0,32.0,5.0,22.0,0.49,70.0,1.0
46.0,268.0,27.0,43.0,6.0,39.0,0.63,76.0,1.0
30.0,107.0,18.0,20.0,5.0,31.0,0.65,72.0,1.0
30.0,103.0,13.0,14.0,4.0,28.0,0.56,88.0,1.0
21.0,45.0,8.0,9.0,4.0,32.0,0.52,61.0,1.0
28.0,93.0,15.0,20.0,5.0,52.0,0.63,23.0,1.0
46.0,212.0,32.0,28.0,6.0,52.0,0.76,21.0,1.0
20.0,19.0,12.0,17.0,5.0,34.0,0.52,13.0,1.0
14.0,6.0,7.0,14.0,5.0,23.0,0.5,14.0,1.0
